ID,EM38_ID,Year,FID,Field,X,Y,CV.1.0m,CV.0.5m,ECe_Deep,ECe_Shallow,Gross Weight,Bag Weight,Net Weight,bu/ac,kg/ha,Yr_%,ECe_Gyp_Call,ECe_Gyp_Bern,Mg/ha,Status
0,91,2019,F1,G2,617926.177,4203744.112,114.609,82.656,4.004380546,3.610212165,1088.62,46.27,1042.35,218.0705921,13715.13158,79.69117933,3.059176492,3.005530778,13.71513158,Excluded
1,91,2019,F1,G2,617926.177,4203744.112,114.609,82.656,4.004380546,3.610212165,762.77,47.69,715.08,149.6022632,9408.947369,54.67028207,3.059176492,3.005530778,9.408947369,Excluded
2,101,2019,F1,G2,617871.949,4203744.027,103.75,74.531,3.596941349,3.377111358,972.39,46.27,926.12,193.7540526,12185.78947,70.80500309,2.803759735,2.750716304,12.18578947,Excluded
3,109,2019,F1,G2,617828.98,4203743.348,71.875,57.539,2.421538587,2.857965579,1093.04,46.27,1046.77,218.9953026,13773.28947,80.02910323,2.032921383,1.984130386,13.77328947,Excluded
4,131,2019,F1,G2,617707.394,4203741.815,77.656,58.906,2.632137967,2.901581777,1343.14,46.27,1296.87,271.3188553,17064.07895,99.15009329,2.175438512,2.125552221,17.06407895,Excluded
5,131,2019,F1,G2,617707.394,4203741.815,77.656,58.906,2.632137967,2.901581777,1239.7,46.27,1193.43,249.6781184,15703.02632,91.2417558,2.175438512,2.125552221,15.70302632,Excluded
6,172,2019,F1,G2,617720.446,4203758.48,78.242,52.188,2.653555612,2.683563221,1197.5,46.27,1151.23,240.8494342,15147.76316,88.01542321,2.189809895,2.139821632,15.14776316,Excluded
7,177,2019,F1,G2,617747.768,4203758.265,85.078,58.633,2.904306407,2.892900255,1132.89,46.27,1086.62,227.3323421,14297.63158,83.0757704,2.356501212,2.305438302,14.29763158,Excluded
8,185,2019,F1,G2,617791.719,4203758.724,89.258,63.594,3.058417319,3.048507898,1078.5,46.27,1032.23,215.9533816,13581.97368,78.9174711,2.457602356,2.405980807,13.58197368,Excluded
9,213,2019,F1,G2,617941.349,4203760.874,119.648,82.852,4.194491894,3.615732074,1292.62,46.27,1246.35,260.7495395,16399.34211,95.28766861,3.176664755,3.12285929,16.39934211,Excluded
10,235,2019,F1,G2,617952.161,4203776.334,121.055,82.5,4.247687944,3.605815447,1068.61,46.27,1022.34,213.8842895,13451.84211,78.16134724,3.20935938,3.155522041,13.45184211,Excluded
11,258,2019,F1,G2,617841.713,4203775.348,83.477,59.648,2.845434401,2.925105869,1237.89,46.27,1191.62,249.2994474,15679.21053,91.10337519,2.317616007,2.266786351,15.67921053,Excluded
12,259,2019,F1,G2,617836.51,4203775.093,70.352,50.352,2.366271689,2.62227729,1235.5,47.69,1187.81,248.5023553,15629.07895,90.81208781,1.995142413,1.946668162,15.62907895,Excluded
13,289,2019,F1,G2,617681.821,4203772.995,85.469,61.133,2.918697461,2.971876212,1046.4,46.27,1000.13,209.2377237,13159.60526,76.46331765,2.365983988,2.314865765,13.15960526,Excluded
14,297,2019,F1,G2,617641.868,4203772.883,102.813,71.484,3.561935192,3.287393312,1393.27,47.69,1345.58,281.5095,17705,102.8741374,2.78156916,2.728595285,17.705,Excluded
15,314,2019,F1,G2,617651.408,4203789.398,77.813,50.859,2.637874909,2.639279161,1047.34,47.69,999.65,209.1373026,13153.28947,76.42662003,2.179290182,2.129376412,13.15328947,Excluded
16,314,2019,F1,G2,617651.408,4203789.398,77.813,50.859,2.637874909,2.639279161,1057.87,47.69,1010.18,211.3402895,13291.84211,77.23167416,2.179290182,2.129376412,13.29184211,Excluded
17,336,2019,F1,G2,617758.648,4203790.686,98.398,70,3.397329801,3.243206864,1209.17,46.27,1162.9,243.2909211,15301.31579,88.90763413,2.676668146,2.624062053,15.30131579,Excluded
18,359,2019,F1,G2,617876.703,4203791.793,101.68,78.555,3.519639748,3.493627061,1140.55,47.69,1092.86,228.6378158,14379.73684,83.55283947,2.754703223,2.701817375,14.37973684,Excluded
19,363,2019,F1,G2,617897.509,4203792.076,111.875,85.82,3.901502914,3.698761391,1196.16,46.27,1149.89,240.5690921,15130.13158,87.91297568,2.995163992,2.94163577,15.13013158,Excluded
20,369,2019,F1,G2,617927.913,4203792.173,110.43,73.438,3.847207885,3.345080757,892.73,46.27,846.46,177.0883421,11137.63158,64.71472697,2.961253256,2.907796185,11.13763158,Excluded
